質問,回答
kuniko.(^^)<Ue58d3f6fcf920f50c67b63b5c19f3078>: 定期便の商品の変更したい,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせいただきありがとうございます😌
 

 ▼定期便の商品を変更する方法
  
 １．マイページにログイン
 https://shop.kaminidoramawo.jp/shop/customer
  
 ２．「ご利用中の定期購入（次回お届け予定）」の詳細を見るをクリック
  
 ３．商品追加
 注文番号が記載されたページの下部にある「追加可能商品」から、ご希望の商品を追加してください。
 ※「次回のみお届け」は「いいえ」（毎回お届けする）を選択してください。
  
 ４．不要な商品の削除
 不要な商品の「変更する」ボタンをクリックし、保存ボタンの直下にある「削除する」をクリックしてください。
  
 以上です。
  
 念のため、ご希望の手続きが完了しているか、画面を戻って定期便のお届け内容をご確認ください。
 

 ご不明な点がおありの際は、恐れ入りますが、再度お尋ねください。
 どうぞよろしくお願いいたします。"
Yuri<U9d60d88977f1b67cb8ad18f3d6a69a1c>: 失礼しました、マイページから停止できました。ありがとうございました。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご連絡ありがとうございます😌
 

 無事にマイページから定期便の停止ができたとのこと、安心いたしました。
 ご不明な点がございましたら、いつでもお気軽にご連絡くださいませ。
 

 今後ともどうぞよろしくお願いいたします。"
上井 理衣<Uf936d15171285da4de2a3705e4e185f9>: 正しい使い方,
神野美知代<U8d200da11ec1479d37bbbf54400578c3>: 正しい使い方,
りこ<Ud161bd11498c8ec87bbafe5570de5828>: もーけっこうです,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご連絡ありがとうございます。
 

 承知いたしました。
 また何かございましたら、いつでもお気軽にご連絡くださいませ。
 

 今後ともどうぞよろしくお願い申し上げます。"
郁子<Ube425a2dafc7252dc789e60b9a75c987>: 正しい使い方,
田野村祐衣<Ufc6bd0049c7f4c760a757dff424611d6>: 正しい使い方,
ぐぅ<Ud643af8526c14a74c1673ab5eedaea11>: 正しい使い方,
ぐぅ<Ud643af8526c14a74c1673ab5eedaea11>: 髪質診断,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご連絡ありがとうございます。
 髪質診断について、お問合せの詳しい内容をお知らせいただけますでしょうか？確認のうえ、こちらから改めてご案内させていただきます。
 どうぞよろしくお願いいたします。"
maiko nagasaki<U00e3953ea86a56c89449ff5a8b7a0841>: 正しい使い方,
ぐぅ<Ud643af8526c14a74c1673ab5eedaea11>: どのヘアオイルが合うのか知りたいです,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご連絡ありがとうございます。
 

 お客様にぴったりのヘアオイルを見つけていただくために、いるかのせなか。アウトバス診断をご案内しております。
 以下のリンクより、ぜひお試しくださいませ。
 https://liff.line.me/2006323212-35R7RdDz
 

 診断結果をもとに、おすすめのアイテムをご提案させていただきます。ご不明点などございましたら、お気軽にお問い合わせください。"
ⓨⓤⓚⓘⓒⓗⓘ<U68ad6341d7ce477ec2da9f989b133177>: 正しい使い方,
知念 風花 (米丸)<Ubc5edd282f13223031ffc1fbbf1e9a2b>: https://liff.line.me/2006323212-35R7RdDz,
ぐぅ<Ud643af8526c14a74c1673ab5eedaea11>: ありがとうございます,
ゆうこ かねこ<U60e81960fd603a6771229fce43ed8412>: 使い方を見る,
りり<Uc8614b9a2c1fb3ad3d5792bfad481b04>: メーカーどこ？,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問合せいただきありがとうございます。
 

 ホームケア商品「つるりんちょ。」や「いるかのせなか。」は、株式会社BISCOが製造・販売を行っております。
 

 「髪にドラマを。」というブランド名で、全国の美容室様を中心に展開しており、公式オンラインショップのほか、楽天市場・Amazon・Qoo10などのECサイトでも販売を行っております。
 ※楽天市場・Amazon・Qoo10での公式販売は、販売元が髪にドラマを。となります。"
りり<Uc8614b9a2c1fb3ad3d5792bfad481b04>: ありがとうございます！,
西山元章<U4951c9d50a9dc4fd0552b984fd074f92>: 正しい使い方,
まみ<U14c7be0456ca4caba9f6d11633a4634c>: 正しい使い方,
ぴーさん🦦(まりあ)<U4d98ac55747009f82dc5d7091ab4ba6b>: 正しい使い方,
mari<U0d75905ab028e709bc570a1b8932566a>: メッセージの送信を取り消しました,
"小川紗都<U28ab7e52c6881f2b601acde78e9ca925>: こんばんは。ご相談です🙇🏻‍♂️
 つるりんちょシャンプーとトリートメントを使いはじめて、髪がものすごく乾燥しました。
 つるりんちょ様のTwitterなどを参考にして、皮膜毛なのかな？と考え、ブースターを使いはじめ5日程度経ちました。しかし、ものすごく髪が乾燥してしまい、パッッッサパサの状況です😭キシキシしています。
 やり方はサイトを参考にして泡パックや予洗いなども行っています。髪質に合っていないのでしょうか…","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): つるりんちょ。シャンプー・トリートメント、つるりんちょ。ブースターをご愛顧いただき、誠にありがとうございます😊
 

 「つるりんちょ。」をご使用いただいてから髪の乾燥が気になり、さらにブースターを5日ほどお使いいただいたところ、さらなる髪の乾燥、パサつきやきしみを感じられるようになったとのことですね。
 合わないのではとご不安な中、ご相談くださいましてありがとうございます。
 

 ご回答のため、小川様の髪の状態、ケア方法をより詳しくお伺いさせていただければと存じます。
 

 下記内容をお伺いさせていただけますでしょうか？
 どうぞよろしくお願いいたします。
 

 ■1）つるりんちょ。を使う以前にご使用になられていたシャンプー・トリートメントの商品名を教えてください。
 

 ■2）髪の状態がわかる写真をご提供ください。
 

 ※アウトバストリートメントやスタイリング剤をつけていないドライヤーで乾かしただけの髪の状態の写真を撮ってください
 ※お顔はスタンプなどで隠していただいてOKです🙇‍♀️
 

 ■3）髪の施術履歴があれば教えてください。
 

 ※例：
 〇ヶ月前に美容室でカラー、周期は〇ヶ月ごと
 〇ヶ月前に美容室で縮毛矯正、周期は〇ヶ月ごと
 など
 

 ■4）アイロンは使用されますか？
 使用される場合は、温度、使用頻度、アイロン前に使用されるアイテムがあれば商品名を教えてください。
 

 

 お手数をお掛けいたしますが、ご確認とご返信のほどよろしくお願いいたします🙇‍♀️"
snoopy<Uf2fbf7808aebdfca00e9bf3cea360e1f>: 正しい使い方,
宇野聡子<U4b262d3cadbe606b7e8e78a312a22578>: 正しい使い方,
SHINO<Ue45ab1cf5364ba1ff54cdf3463bd819c>: 正しい使い方,
みゆ<U19438ddf23039dbc378c377f9589491a>: 正しい使い方,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせいただき誠にありがとうございます☺️
 

 恐れ入りますが、現在ご利用いただけるクーポンは特定のキャンペーンやイベント時に限り配布しております。
 

 最新のクーポン情報につきましては、公式LINEの他にメールマガジンにてご案内を差し上げておりますので、ぜひご登録のうえご確認いただけますと幸いです。
 

 その他、ご不明な点がございましたらお気軽にお問い合わせくださいませ。"
Shun<Ufe92751a37879467b5ea5819fee388ad>: 正しい使い方,
栞 奈<Uad922b5e903fc1fad2229e8f06c76e9e>: 正しい使い方,
yukako<U13f46091cee53e588fbe5cf10753c488>: 正しい使い方,
★maki☆<Ua79b8bc44b1b72b6bd643a4d8d9d0a52>: 正しい使い方,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご連絡ありがとうございます。
 

 当店では、ご注文をいただき次第すぐに発送準備に入っており、迅速なお届けを心がけております。
 

 そのため、誠に恐縮ですが、ご注文後のキャンセルは承ることができません。
 今回のご注文につきましては、お受け取りいただけますようお願い申し上げます。
 

 ■どうしてもご不要の場合には、お受け取り後の返品を承ります。
 

 以下の「返品について」の流れに沿って、1週間以内にご返送くださいませ。
 https://shop.kaminidoramawo.jp/shop/guide
 

 ご不明な点等おありの際には、お気軽にお尋ねくださいませ。"
アラレッティ－◎▽◎－(佐々木尚子)<Ue66ef11b56eeec7cfbe3fa040b008db9>: 正しい使い方,
ひとみ<Uda15f620e882b55430bc7567cc66e365>: 正しい使い方,
★maki☆<Ua79b8bc44b1b72b6bd643a4d8d9d0a52>: わかりました、連絡ありがとうございます😊,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご理解いただきありがとうございます。
 その他にご不明な点やお困りのことがございましたら、いつでもご連絡くださいませ。"
れみ<U01554ba884d20b5a61217d90212074a0>: 注文について,
m<U8aa8f5635f23f2d4dcdb8eb65c419e72>: 注文について,
あかばねみずは<Ucd866b61440bacbb78cba98f33d1f855>: 注文について,
じゅん<Ue4337b623ed11a6d1aad9db8004326f2>: 注文について,
❦ゆか❦<U9ba8b2783ebfb75c2332832746269565>: 注文について,
"mon🍟<U02506ebd354b5007b946af46561b94e9>: ご注文の氏名 岡本 梢
 ご注文電話番号 08037005921
 注文番号（わかれば）280e94851f
 

 先週、GWで不在のため受け取れず返却されてしまいました。そちらに戻っていたら再度発送していただきたいのですが、
 よろしくお願いいたします。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): この度は、お問い合わせをいただきありがとうございます。
 教えていただいた情報でご登録・ご注文状況を確認いたしました。
  
 ご注文（注文番号280e94851f）につきまして 保管期限が切れたとして弊社へ返送されてきておりました。
 あいにく再送は承っておりません。
  
 そのためご注文はキャンセル手続きならびに、クレジットカード決済のキャンセル手続きをさせていただきました。
 ※カードの締め日によってはいったんお引き落としとなり翌月か翌々月にカード会社様よりご返金となる場合がございます。あらかじめご了承くださいませ。
  
 改めてご希望をいただけます場合には、マイページへログイン後、新しくご注文をいただけますと幸いです。
 https://shop.kaminidoramawo.jp/
  
 ご注文は発送が完了いたしましたらメールにてその旨をご連絡させていただきます。
 お受け取りのほどなにとぞよろしくお願いいたします。"
